NCR Registration No,Full Name,Trading Name,Legal Registration No,Phone,Fax,Physical Address,Town,Final Registration Date,Status
NCRCP19641,SALNAH (PTY) LTD,SALNAH LOANS,2017/143852/07,082 727 4494,,Lesedi Park 10714 Membrane Street Polokwane 0790,Polokwane,5/31/2024,Registered!
NCRCP19642,SPRING CASH LOANS (PTY) LTD,,2024/159305/07,  ,,57c Gladstone Street Dundee Dundee 3000,Dundee,6/10/2024,Registered!
NCRCP19643,FRESH START CASH LOANS (PTY) LTD,,2024/093309/07,043 555 0737,086 415 2899,"Unit 1, No 10 Suffolk Road Berea East London 5201",East London,6/10/2024,Registered!
NCRCP19644,FODAER CAPITAL (PTY) LTD,,2024/032454/07,057 353 2963,,7 Van Rhyneveld Street THEUNISSEN 9410,THEUNISSEN,6/14/2024,Registered!
NCRCP19645,ZWANESA (PTY) LTD,,2023/203705/07,013 880 0424,,22 Marloth Street Nelspruit 1201,Nelspruit,6/7/2024,Registered!
NCRCP1,FIN SOUTH AFRICA (PTY) LTD,FIN SA,2006/008265/07,012 804 1443,012 804 9226,The Podium At Menlyn 43 Ingersol Road Lynnwood Glen 0081,Lynnwood Glen,11/7/2006,Registered!
NCRCP10,BANK OF TAIWAN (INCORPORATED IN REPUBLIC OF CHINA),BANK OF TAIWAN SOUTH AFRICA BRANCH,2000/014015/10,011 880 8008,011 447 1750,11 Cradock Avenue Rosebank 2196,Rosebank,6/18/2007,Registered!
NCRCP10002,ASPACO (PTY) LTD,,2017/087667/07,076 120 4588,,A91 Sannie Street Pretoria Gardens Pretoria 0082,Pretoria,11/17/2017,Registered!
NCRCP10004,RW BIZ (PTY) LTD,,2017/253066/07,082 962 2252,086 630 7398,2 Hugo Street Durbanville 7550,Durbanville,11/20/2017,Registered!
NCRCP10005,GRIP CAPITAL (PTY) LTD,,2016/273698/07,010 005 5900,,Maxwell Office Park Mac Mac Building 4 Waterfall City 2090,Waterfall City,11/23/2017,Registered!
NCRCP10017,JARGUY (PTY) LTD,CASH CONVERTERS MEADOWDALE MALL,2012/195455/07,087 820 4080,011 805 2170,"Shop 61, Meadowdale Mall Van Riebeeck Avenue Germiston 1614",Germiston,11/28/2017,Registered!
NCRCP10018,SAMORA AND STHEMBILE INVESTMENT CORPORATION (PTY) LTD,SANDS INVESTMENTS,2014/200486/07,012 767 8262,,43 Yellow Wood Irene Farm Villagesvan Centurion 0157,Centurion,11/28/2017,Registered!
NCRCP10020,GRIEKWASTAD FINANSIELE DIENSTE (PTY) LTD,,2017/259688/07,072 506 6884,,7 Van Zyl Street Griekwastad Griekwastad 8365,Griekwastad,11/28/2017,Registered!
NCRCP10025,NEHAWU SAVINGS AND CREDIT CO-OPERATIVE LIMITED,NEHAWE SACCO,2007/001376/24,010 035 2341,086 224 5701,12 New Street Ghandi Square Johannesburg 2001,Johannesburg,11/17/2017,Registered!
NCRCP10029,VISSER GROEP (PTY) LTD,,2006/006667/07,054 431 1036,054 431 0971,334 Augrabies weg Kakamas 8870,Kakamas,11/23/2017,Registered!
NCRCP16853,TUUURTLE (PTY) LTD,,2022/515529/07,021 300 0211,,603 Grove Exchange 9 Grove Avenue Claremont CAPE TOWN 7708,CAPE TOWN,11/16/2022,Registered!
NCRCP16854,LEBELO HOLDINGS (PTY) LTD,,2022/684798/07,083 948 1070,,"733 Buffer Zone Street ,Ext 1 Zakarriya Park ELDORADOPARK 1813",ELDORADOPARK,11/16/2022,Registered!
NCRCP16855,SIYASUBATHA AFRICA (PTY) LTD,,2022/462839/07,063 376 4581,,34 Grundel Road Carrington Heights Durban 4001,Durban,11/16/2022,Registered!
NCRCP16857,KABOENTLE FINANCIAL SERVICES (PTY) LTD,KFS FIN,2013/090417/07,078 207 2596,086 605 6641,96 Carlswald View 8th Road Noordwyk MIDRAND 1685,MIDRAND,11/16/2022,Registered!
NCRCP16858,TLAILE MUSIC (PTY) LTD,,2012/027533/07,079 116 7749,,Stand No 64 Ga-Masha Village SEKHUKHUNE 1124,SEKHUKHUNE,11/16/2022,Registered!
NCRCP16860,DD AND HP ACCOUNTANTS (PTY) LTD,,2015/239366/07,083 446 0178,,13 WREN STREET NORTHVIEW ESTATE KRUGERSDORP 1739,KRUGERSDORP,11/15/2022,Registered!
NCRCP16862,NEVMAKE TRADING (PTY) LTD,,2016/403640/07,072 702 5645,,"110 Macheke Street Ext 28, Phase 27 VOSLOORUS 1475",VOSLOORUS,11/15/2022,Registered!
NCRCP16863,S AND M FINANCIAL SERVICES (PTY) LTD,,2021/833029/07,068 248 1556,,20115 Grassland BLOEMFONTEIN 9301,BLOEMFONTEIN,11/18/2022,Registered!
NCRCP16868,ATLAND CHEMICALS CC,,2008/187110/23,011 397 6740,,39 Bisset Road Hughes X 10 Boksburg 1459,Boksburg,11/18/2022,Registered!
NCRCP16870,DALY CREDIT CORPORATION (PTY) LTD,,1999/019107/07,031 538 1601,,24 Flanders Drive Mount Edgecombe 4301,Mount Edgecombe,11/18/2022,Registered!
NCRCP2203,CYBED TRADING 0025 CC,ARCO TRADING,2001/041188/23,011 268 0458,011 268 0458,41 Canyon Avenue Berario 2195,Berario,8/17/2007,Registered!
NCRCP22030,WAHRIYA FOUNDATION (PTY) LTD,,2024/281400/07,081 320 0297,,2277 Nkonka Road Imbali Unit 2 Pietermaritzburg 3201,Pietermaritzburg,4/24/2025,Registered!
NCRCP22031,MVK CATERING AND CLEANING SERVICES (PTY) LTD,,2018/404473/07,011 568 5349,,14347 Ext 75 Mareka Street Polokwane. 0699,Polokwane.,7/1/2025,Registered!
NCRCP22032,CONSUMER DEBT MANAGEMENT AND RECOVERIES (PTY) LTD,,2017/141501/07,044 690 3666,,16 Marsh Street Cyprus Cottage Mossel Bay 6500,Mossel Bay,7/4/2025,Registered!
NCRCP22033,OLUHLE FIRST FINANCE (PTY) LTD,,2025/175471/07,078 668 9262,,99 Begonia Drive Chatsworth Durban. 4092,Durban.,7/2/2025,Registered!
NCRCP22034,DITLHAKE CASH LOANS (PTY) LTD,,2025/066259/07,073 956 8647,,38 Fowler Street Westonaria Bekkersdal 1779,Bekkersdal,7/1/2025,Registered!
NCRCP22035,ENTOKOZWENI FINANCIAL ENTERPRISES (PTY ) LTD,,2024/672469/07,011 568 5349,,15 Wesselbreytenbach Avenue George Botha Park Ermelo 2351,Ermelo,7/2/2025,Registered!
NCRCP22036,MICHIEL NELSILE SHIBA,MAKWANDE,N/A,066 458 7031,,5531 Extension 5 Emzinoni 2312,Emzinoni,7/2/2025,Registered!
NCRCP22037,CHUBBY MICRO FINANCE (PTY) LTD,,2025/203460/07,087 550 1823,,28 Spencer Street Maitland 7405,Maitland,7/3/2025,Registered!
NCRCP22038,LACROCS FINANCIAL SOLUTIONS (PTY) LTD,,2024/730942/07,071 931 9891,,2031 Hlalanikahle Ext 2 Kwa-Guqa Witbank 1035,Witbank,7/2/2025,Registered!
NCRCP19646,URBAN PROJECTS SA (PTY) LTD,,2023/639084/07,062 966 3562,,2 Nimbus Road Farrarmere BENONI 1501,BENONI,6/10/2024,Registered!
NCRCP19647,ALPHA LOANS (PTY) LTD,,2024/050804/07,073 682 4208,,421 Pebble Falls Graaff Avenue Comet BOKSBURG 1459,BOKSBURG,6/5/2024,Registered!
NCRCP19648,KLEIN BEGIN FLASH (PTY) LTD,,2021/756278/07,065 321 0207,,25 Schoeman Street De Rust 9600,De Rust,6/5/2024,Registered!
NCRCP19649,MFUKO FINANCIAL SERVICES NPC,,2023/224438/08,072 029 1485,,517 Sakwe Park Idutywa 5000,Idutywa,6/7/2024,Registered!
NCRCP19650,IVANDE FINANCIAL SOLUTIONS (PTY) LTD,,2023/635009/07,064 914 1229,,80 New Exrension Mbasa First Street Dundee 3000,Dundee,6/5/2024,Registered!
NCRCP19651,MANKWE OFENTSE (PTY) LTD,,2024/052280/07,068 086 9712,,Olievenhoutbosch Centurion VOORTREKKERHOOGTE 0187,VOORTREKKERHOOGTE,5/16/2024,Registered!
NCRCP19652,FLOABRA BUSINESS ENTERPRISE (PTY) LTD,,2016/228764/07,079 215 6984,,140 A Zastron Street 105 Kiepersol Flat Bloemfontein 9301,Bloemfontein,5/15/2024,Registered!
NCRCP19653,EXARO TRADING (PTY) LTD,,2021/011458/07,011 305 2300,,89 Bute Lane Sandown Sandton JOHANNESBURG 2196,JOHANNESBURG,5/6/2024,Registered!
NCRCP19654,BALEMI BA GOSPEL (PTY) LTD,BBG CASH LOAN,2023/248879/07,083 476 8670,,28 Kerk Street Odendaalsrus 9480,Odendaalsrus,6/11/2024,Registered!
NCRCP19655,NKEKU SOLUTIONS (PTY) LTD,HLONY FINANCE,2014/066041/07,079 604 5218,,11043 Amman Street Cosmo City Randburg 2125,Randburg,6/15/2024,Registered!
NCRCP10033,MORE2LIFE FINANCIAL SERVICES (PTY) LTD,MORE2LIFE,2016/200826/07,086 147 7747,,Office S04 Belvedere Square Shopping Cnr Belvedere and Keurboom Roads Claremont 7735,Claremont,11/29/2017,Registered!
NCRCP10035,CHENZHUANG (PTY) LTD,,2017/210504/07,078 827 4171,086 243 5708,5 Beaufort Street Grahamstown. 7446,Grahamstown.,11/30/2017,Registered!
NCRCP10047,B4 FINANCIAL SERVICES AND PROJECTS (PTY) LTD,,2015/347305/07,071 334 2099,,268 Block I Hani View Maubane HAMMANSKRAAL 0400,HAMMANSKRAAL,11/16/2017,Registered!
NCRCP10048,WIKE BOUTIQUE (PTY) LTD,RAINBOW,2014/267573/07,076 167 6178,,82 Murchison Street LADYSMITH 3370,LADYSMITH,11/30/2017,Registered!
NCRCP10055,REALEWENA TRADING AND PROJECTS (PTY) LTD,,2014/114961/07,079 033 2997,,4006 Oukasi Phase 3 Brits 0205,Brits,12/6/2017,Registered!
NCRCP10061,WDRA TRADING CC,HELPING HAND SOLUTIONS,2009/226515/23,011 907 8322,086 274 0349,"2nd Floor, Malawahof 62 Charl Cilliers Avenue ALBERTON 1449",ALBERTON,12/4/2017,Registered!
NCRCP10063,RASEL AND CUSTOMERS (PTY) LTD,,2015/076730/07,074 505 7721,,Stand No 1120 Atamelang Tswaing 2732,Tswaing,12/1/2017,Registered!
NCRCP10065,PULANE CAPITAL (PTY) LTD,,2017/436350/07,082 285 6077,,47 Emkhathini Section Tembisa 1632,Tembisa,11/30/2017,Registered!
NCRCP10073,KORJON PROPERTIES (PTY) LTD,,1996/009945/07,021 683 2409,021 683 1467,4 Philmae Court 18 Mckinley Road Kenilworth NUWELAND 7708,NUWELAND,12/6/2017,Registered!
NCRCP1008,MILLER GOLD HOUSE (PTY) LTD,GOLD & FINANCE,2012/193876/07,021 418 2253,021 418 3009,"1 Thibault Square, 20th Floor Suite 2003 Cnr Hongstraat & Hans Strijdom Avenue Foreshore Cape Town 8001",Cape Town,9/5/2007,Registered!
NCRCP16872,BETHSAIDA HOLDINGS (PTY) LTD,,2019/154069/07,078 355 7341,,"10 Marian Crescent Sarnia Durban, 3615","Durban,",11/29/2022,Registered!
NCRCP16874,DD EQUIPMENT (PTY) LTD,,2015/339246/07,013 854 0403,,2 Copper Ferrus Street Ekandustria. 1028,Ekandustria.,11/30/2022,Registered!
NCRCP16875,NSEKI FINANCIAL SOLUTIONS (PTY) LTD,,2022/768906/07,083 342 8661,,Leda Offices Rhimati Main Road Section A GIYANI 0933,GIYANI,11/29/2022,Registered!
NCRCP16876,BZN AGRI-RETAILERS (PTY) LTD,,2022/710233/07,078 152 0930,,19 Sihlali Street Mount Frere 5090,Mount Frere,11/30/2022,Registered!
NCRCP16878,EKNO LOANS (PTY) LTD,,2022/807005/07,079 889 9027,,23 Gladiola Street Bergsig Heidelberg HEIDELBERG 1441,HEIDELBERG,11/30/2022,Registered!
NCRCP16879,TSHEPOLEMO TRADING (PTY) LTD,,2022/812875/07,079 967 0072,,3 Weenen Avenue Mossel Bay 6520,Mossel Bay,11/30/2022,Registered!
NCRCP16880,DUOBAOLI (PTY) LTD,,2022/812531/07,  ,,11 Gladstone Street EAST LONDON 5201,EAST LONDON,11/30/2022,Registered!
NCRCP16882,LESIBANA EZEKIEL LEGODI,,N/A,073 306 5555,,House No 10253 Maroteng Village Mokopane (Potgietersrus) 0600,Mokopane (Potgietersrus),11/8/2022,Registered!
NCRCP16884,GRAND LOANS (PTY) LTD,,2022/699255/07,067 303 9424,061 334 8625,Unit 1 C/o All Saints & Brand Street Bredasdorp 7280,Bredasdorp,12/1/2022,Registered!
NCRCP16887,MALGAS MULTI TRADING (PTY) LTD,MALGAS MICRO FINANCE,2020/910266/07,076 637 3244,,11273 Voelvanger Street Siyathemba KATHU 8446,KATHU,12/1/2022,Registered!
NCRCP22039,ENZA MANAGEMENT SERVICES CC,,2005/179394/23,084 717 8702,,19 Philamere Avenue Durban 4093,Durban,7/1/2025,Registered!
NCRCP22040,DIROTO GROUP (PTY) LTD,DIROTO FINANCE SERVICES,2019/384027/07,060 875 8921,,Hlatlolanang Centre Stand No 189 Vergeleegen B Jane Furse 1085,Jane Furse,7/1/2025,Registered!
NCRCP22041,SWINKABEL ENTERPRISE (PTY) LTD,CHEQUE MATE,2013/235026/07,073 551 7048,,157 Tshwara Section Phokeng Rustenburg 0300,Rustenburg,6/26/2025,Registered!
NCRCP22042,MAKWANDE FINANCIAL SOLUTION (PTY) LTD,,2024/551053/07,081 469 511,,3139 Imbali Unit 14 Pietermaritzburg 3201,Pietermaritzburg,5/28/2025,Registered!
NCRCP22043,MY CHING (PTY) LTD,,2021/748100/07,081 750 9726,,15 Cedargerg Street Modder East Springs 1559,Springs,5/26/2025,Registered!
NCRCP22044,ASIYETHAFENI (PTY) LTD,RILASCAN MICRO -FINANCE,2013/065565/07,018 465 7465,,Office Number 7 36 Leask Street Klerksdorp 2571,Klerksdorp,7/2/2025,Registered!
NCRCP22045,NOVA LENDING (PTY) LTD,,2024/769073/07,078 472 0537,,550550 Dambuza Location Edendale Pietermaritzburg 3201,Pietermaritzburg,7/2/2025,Registered!
NCRCP22046,PIONEERCASH SOLUTIONS (PTY) LTD,,2025/034793/07,087 550 1823,,814 Robin Road Shelly Beach Portshepstone 4265,Portshepstone,7/1/2025,Registered!
NCRCP22047,EVERGREE (PTY) LTD,LIGHT LOAN 168,2025/299265/07,010 109 1625,,84 Charlotte Maxele Road Bloemfontein 9301,Bloemfontein,7/2/2025,Registered!
NCRCP22048,MMAHLWARE (PTY) LTD,,2024/467533/07,073 442 1652,,1 Boundry Road 156 Kingsbarns Jackal Creek North Riding 2162,North Riding,6/7/2025,Registered!
NCRCP19656,EZECHUMA GENERAL DEALER (PTY) LTD,,2013/188446/07,  ,,76 Market Street Polokwane (Pietersburg) 0700,Polokwane (Pietersburg),6/18/2024,Registered!
NCRCP19657,GUO QIANG (PTY) LTD,,2023/217546/07,065 533 9616,,Lot 22 John Ross Highway MTUBATUBA 3935,MTUBATUBA,6/18/2024,Registered!
NCRCP19658,DELBERG DEBT COLLECTIONS (PTY) LTD,,2015/342399/07,012 361 5001,,"1st Floor, Block A Menlynwoods Office Park 291 Sprite Avenue Farie Glen Pretoria, 0081","Pretoria,",6/11/2024,Registered!
NCRCP19660,UNILOANS EQUITY (PTY) LTD,,2023/983796/07,078 461 0725,,7 Hugo Street Brandward KAGISANONG 9323,KAGISANONG,6/18/2024,Registered!
NCRCP19661,KABFIN FINANCIAL SERVICES (PTY) LTD,KABFIN LOANS,2023/626798/07,  ,,Bendor Meadows 8228 Ext 108 Motsitla Street Polokwane (Pietersburg) 0699,Polokwane (Pietersburg),3/24/2024,Registered!
NCRCP19662,ESULENKAMA (PTY) LTD,,2015/368957/07,082 711 2921,,5 Elgin Place Belvedere Sunninghill 2157,Sunninghill,6/7/2024,Registered!
NCRCP19663,ZIFINANCING (PTY) LTD,,2024/185631/07,073 924 0478,,43 Buffalo Way BELFAST 1100,BELFAST,6/18/2024,Registered!
NCRCP19664,LSM FINANCIAL SERVICES (PTY) LTD,,2024/252136/07,079 996 9561,,7473 Lekunutu Street Phuthaditjhaba 9866,Phuthaditjhaba,6/14/2024,Registered!
NCRCP19665,OESTE HOLDINGS (PTY) LTD,OESTE FINANCIAL SERVICES,2021/333031/07,061 584 8560,,Unit 23 Woodlands Place 95 Matis Avenue Pretorious Park PRETORIA 0181,PRETORIA,6/18/2024,Registered!
NCRCP19666,SHESHA CASH LOANS (PTY) LTD,,2020/762476/07,082 684 8668,,6 Brentwood 10 School Road Morningside 2057,Morningside,6/18/2024,Registered!
NCRCP10082,REGENESYS INVESTMENT FUND (PTY) LTD,MY WEALTH INVESTMENTS,2013/215799/07,011 669 5000,,165 West Street Sandton 2196,Sandton,12/7/2017,Registered!
NCRCP10086,PAN AFRICAN CREDIT SOLUTIONS (PTY) LTD,,2017/397059/07,011 886 1462,,511 Jan Smuts Avenue and Republic Randview Shopping Centre Office Block 2 Randburg 2194,Randburg,12/7/2017,Registered!
NCRCP10088,SFK FINANCIAL SERVICES (PTY) LTD,,2017/066615/07,078 606 2564,,House Number 132 Ntuthuko Area Pongola 3170,Pongola,12/6/2017,Registered!
NCRCP101,SENIORS' FINANCE (PTY) LTD,,2005/039721/07,087 092 8179,,13 Barons Way Castle Marina Estate Deneysville 1932,Deneysville,5/18/2007,Registered!
NCRCP1010,J KALIDAS CC,KAYS FURNISHERS,2004/005346/23,012 252 3538,012 252 3538,32 Tom Street BRITS 0250,BRITS,9/5/2007,Registered!
NCRCP10101,LORDS WISH (PTY) LTD,EMG FINANCIAL SERVICES,2015/341989/07,074 024 1419,086 245 6437,Stand No 581 Thohoyandou. 0945,Thohoyandou.,12/12/2017,Registered!
NCRCP10110,SILVERWATER FINANCE (PTY) LTD,APEX CASH LOANS,2017/396455/07,071 863 2882,,4 Main Street Thaba Nchu 9780,Thaba Nchu,12/13/2017,Registered!
NCRCP10114,THABIZOLO CASH LOANS CC,,2005/104952/23,  ,,Jolvet Ward 7 Highflats 3306,Highflats,12/15/2017,Registered!
NCRCP10118,MMELA FINANCIAL SERVICES (PTY) LTD,,2004/020637/07,086 166 3527,086 619 1520,"85 Main Street , 1st Floor Nedbank Building Marshalltown JOHANNESBURG 2000",JOHANNESBURG,12/18/2017,Registered!
NCRCP10123,CREDO LOANS (PTY) LTD,,2015/024567/07,072 827 9896,,Stand No 20714 Makgofe Mmotong Polokwane North 0750,Polokwane North,12/19/2017,Registered!
NCRCP16889,NTANDO CREDIT SOLUTIONS (PTY) LTD,,2020/641606/07,079 722 6988,,14850 Elephant Crescent Mamelodi East 0122,Mamelodi East,12/1/2022,Registered!
NCRCP16891,MING PENNY (PTY) LTD,HAP U+,2022/693599/07,071 001 4556,,21 Loots Boulevard Prieska 8940,Prieska,12/7/2022,Registered!
NCRCP16892,WANKATEKO FINANCIAL SOLUTION (PTY) LTD,,2022/689268/07,072 324 6379,,1493 Leboeng Section Tembisa 1632,Tembisa,12/6/2022,Registered!
NCRCP16895,TTMK HOLDINGS (PTY) LTD,,2022/695848/07,073 612 0512,,33218 Arcata Voorsped Road Bloemspruit Bloemfontein. 9364,Bloemfontein.,12/6/2022,Registered!
NCRCP16896,ELROFENSA (PTY) LTD,,2022/817414/07,061 397 3752,,Skhemetele Epondweni Road P522-2 Jozini 3969,Jozini,12/6/2022,Registered!
NCRCP16897,EBOTOS CAPITAL (PTY) LTD,,2010/016931/07,011 050 0600,,"Ground Floor, Block B Edenburg Terraces 348 Rivonia Boulevard Johannesburg 2128",Johannesburg,12/1/2022,Registered!
NCRCP16899,MAKWANDE CAPITAL (PTY) LTD,,2016/190970/07,072 499 0044,,"Country Club Estate, Building No 2 21 Woodlands Drive Woodmead, 2052","Woodmead,",12/1/2022,Registered!
NCRCP169,FULL HOUSE RETAIL (PTY) LTD,FULL HOUSE,1988/060019/07,021 526 4300,,16 Jig Avenue Montague Gardens Milnerton 7435,Milnerton,6/25/2007,Registered!
NCRCP16902,TEFFO CASH LOANS (PTY) LTD,,2022/765527/07,079 355 1392,,"Stand No 9394, Ward 16 16 Casteel Trust Acornhoek 1360",Acornhoek,12/1/2022,Registered!
NCRCP16903,S AND X PROJECTS (PTY) LTD,,2017/483418/07,083 289 9507,,13 Albida Ave Acacia Estate Bendor Polokwane 0699,Polokwane,12/5/2022,Registered!
NCRCP22049,TSHEDZA FINANCIAL SERVICES (PTY) LTD,,2025/069399/07,069 906 5602,,Office No 13 Second Floor Lida Building Thohoyandou 0950,Thohoyandou,7/8/2025,Registered!
NCRCP22050,XAHUMBA BUSINESS ENTERPRISE (PTY) LTD,,2024/810865/07,078 988 6265,,Stand No 404 Matsakali Village Malamulele 0982,Malamulele,7/3/2025,Registered!
NCRCP22051,K2024326986 (SOUTH AFRICA) (PTY) LTD,SHAMBOKI,2024/326986/07,072 606 9225,,42 Cotonou Street Tembisa 1632,Tembisa,7/7/2025,Registered!
NCRCP22052,MVEE FINACIAL SERVICES (PTY) LTD,,2025/301799/07,073 446 9387,,Bel Air Shopping Centre 1st Floor Bellairs Drive North Riding JohannesburgG 2169,JohannesburgG,7/4/2025,Registered!
NCRCP22053,BIAZO FINANCIAL SERVICES (PTY) LTD,,2022/270976/07,011 568 5349,,6253 Mathibela Street Zithobeni Ext BRONKHORSTSPRUIT 1020,BRONKHORSTSPRUIT,7/4/2025,Registered!
NCRCP22054,NYOKANE M ENTERPRISE (PTY) LTD,,2015/201139/07,072 089 9843,,25 Platinum Street Face 3 Kathu 8446,Kathu,7/3/2025,Registered!
NCRCP22055,JAMES GREAT H (PTY) LTD,J GREAT FINANCIAL SOLUTION,2024/678552/07,072 763 7390,,24 Elephant Road Vergenoey East London 5201,East London,7/4/2025,Registered!
NCRCP22056,SIPHOSETHU TK INTERPRISE (PTY) LTD,,2025/100610/07,068 555 2963,,Stand No 1094 Section D Siyabuswa 0472,Siyabuswa,7/4/2025,Registered!
NCRCP22057,SIYAVUMA LOANS (PTY) LTD,,2025/162342/07,087 550 1823,,814 Robin Road Shelly Beach 4265,Shelly Beach,7/3/2025,Registered!
NCRCP22058,MKOPO OPPORTUNITY ENTERPRISE (RF) (PTY) LTD,CASH CONVERTERS AERO CENTRE,2023/747278/07,087 820 4080,,Aero Centre Cnr Tempelhof South & Louis Botha Rd Bonaero Park KEMPTON PARK 1619,KEMPTON PARK,7/4/2025,Registered!
NCRCP10134,SABELO AND PORTIA FINANCIAL SERVICES (PTY) LTD,S & P FINANCIAL SERVICES,2017/420576/07,065 991 3745,,"103 Shakawe Street, Phase 6B Extension 28 Vosloorus 1475",Vosloorus,12/19/2017,Registered!
NCRCP10136,ASPIRE FINANCIAL SERVICES (PTY) LTD,,2009/021996/07,011 666 2900,,125 4th Street Parkmore Sandton 2196,Sandton,12/18/2017,Registered!
NCRCP1015,MORITHI FINANCE CC,,2004/087730/23,013 266 7048,013 266 7048,1269 Leufontein Moganyaka 0459,Moganyaka,8/30/2007,Registered!
NCRCP10152,MANYIKANI CONSULTANT (PTY) LTD,,2013/085208/07,074 232 2695,,Stand No 300 Mashobye Village Malanmulele 0986,Malanmulele,12/27/2017,Registered!
NCRCP10153,WORCESTER CW (PTY) LTD,,2017/308655/07,063 088 8888,,42 Stockenstrom Street Worcester 6850,Worcester,12/23/2017,Registered!
NCRCP10154,GERT ALBERTUS FERRIS,,N/A,071 863 3079,,15 Isabel Street The Reeds Centurion Centurion 0157,Centurion,12/22/2017,Registered!
NCRCP10155,JANSEN CASH LOANS (PTY) LTD,,2014/119901/07,071 161 9716,,16 Salmon Street Extention 13 MOSSELBAAI 6506,MOSSELBAAI,12/22/2017,Registered!
NCRCP10158,PHANGISA LOANS (PTY) LTD,,2017/240707/07,082 498 3081,086 260 0614,21 Tosca Road Sunward Park BOKSBURG 1459,BOKSBURG,12/22/2017,Registered!
NCRCP10159,SERVIFOR FINANCIAL SERVICES CC,,2011/054584/23,012 548 0150,,"Unit 38, Jana Park Jan Bantjies Street Montana Pretoria 0182",Pretoria,12/20/2017,Registered!
NCRCP10161,LOTSHA MZANSI PROJECTS (PTY) LTD,MZANSI CASH LOAN,2014/260027/07,072 142 2448,,3590 Dwarf Street FREEDOM PARK 1811,FREEDOM PARK,12/22/2017,Registered!
NCRCP16907,SMUTS PAYDAY LOANS (PTY) LTD,,2022/777910/07,072 187 4841,,"399 Thebeko Street Thabong Welkom, 9463","Welkom,",12/6/2022,Registered!
NCRCP16911,AYAKA N AREFFA (PTY) LTD,,2022/687534/07,067 976 8693,,179 Zimu Road Sobantu Pietermaritzburg 3201,Pietermaritzburg,12/6/2022,Registered!
NCRCP16913,MAZOMBA FAMILY ENTERPRISE (PTY) LTD,EASY LOANS,2017/332899/07,083 639 9621,,Motsekoa Location Maluti 4740,Maluti,12/6/2022,Registered!
NCRCP16914,MSWAGG TRADING AND PROJECTS (PTY) LTD,,2017/650314/07,071 265 0026,,925 Section B Kwamhlanga 1022,Kwamhlanga,12/6/2022,Registered!
