NCR Registration No,Full Name,Trading Name,Legal Registration No,Phone,Fax,Physical Address,Town,Final Registration Date,Status
NCRCP8607,SUN FINANCE SOUTH AFRICA (PTY) LTD,,2014/187975/07,021 201 7226,,462 Koeberg Road MILNERTON 7441,MILNERTON,,
NCRCP8692,CMR GROUP (PTY) LTD,,2013/066425/07,012 991 6485,,20 Vals Crescent FAERIE GLEN 0043,FAERIE GLEN,,
NCRCP8899,SLIKSAM CASH LOANS (PTY) LTD,,2015/375980/07,033 263 1109,086 273 8686,Stand NO A4914 Mpophomeni Merrivale 3291,Merrivale,,
NCRCP922,TEN MINUTE FINANCE CC,,2006/057089/23,058 463 0857,058 463 0961,12 C Brand Street Lindley 9630,Lindley,,
NCRCP9273,DRAGON LOAN (PTY) LTD,,2017/054996/07,071 209 2404,,4A Proot Street Monte Vista MILNERTON 7441,MILNERTON,,
NCRCP9275,GOLDEN FLOWER TRADING (PTY) LTD,,2017/082823/07,073 155 5180,,8 Station Road MAFIKENG 2745,MAFIKENG,,
NCRCP9330,REALRELIEVERS CASH LOANS (PTY) LTD,,2016/313871/07,079 811 7965,,3212 Zone B Lebowakgomo 0737,Lebowakgomo,,
NCRCP9429,GLADSON FINANCES (PTY) LTD,,2017/099776/07,  ,,963 Dlamini Street Wattville 1516,Wattville,,
NCRCP9494,GREAT HARVEST (PTY) LTD,EASY CASH LOAN,2013/085311/07,072 338 8058,,Shop no 12 Pioneer Building 51 Schoeman Street ` PIETERSBURG 0699,PIETERSBURG,,
NCRCP952,SEWATUMONG MICRO LENDING CC,,2005/079427/23,083 699 7648,015 516 7317,House 129 Senwamokgope Paulusweg 0814,Paulusweg,,
NCRCP9688,KHAZAMOLA CASH LOAN AND HOLDINGS (PTY) LTD,KHAZAM CASH LOANS HOLDINGS,2017/186552/07,012 003 4216,,296 Premium Towers Cnr Vander Walt & Pretorius Office Pretoria 0190,Pretoria,,
NCRCP9705,MZALWANA CASH LOANS CC,,2004/066035/23,072 735 9982,,86 Odendaal Street Odendaalsrus 9480,Odendaalsrus,,
NCRCP9725,FISCAL MARKET (PTY) LTD,,2017/234082/07,021 822 2856,086 572 3621,"Shop 19, Cnr League & Lenton Drive Bishop Lavis Motroosfontein 7490",Motroosfontein,,
NCRCP9727,TITUSG TRADERS (PT) LTD,,2017/085647/07,054 332 9085,086 461 0219,2 Coleskop Street Rosedale Upington 8801,Upington,,
NCRCP14123,LEHAIWAS CHASHERS (PTY) LTD,,2018/454045/07,073 495 0855,,1173 Phoshane Street Ramaphosa HAMMANSKRAAL 0400,HAMMANSKRAAL,,
NCRCP14992,PRONTO CASH LOANS (PTY) LTD,,2021/567878/07,011 791 2349,086 451 0157,73 Waterkant Street Odendaalsrus 9480,Odendaalsrus,,
NCRCP15881,NONTANDO PETUNIA NDEBELE,ISIDINGO LOANS,N/A,011 402 1805,,NO 62 Saxony Flat 17 Samora Machel Street Durban 4091,Durban,,
NCRCP16144,CCH MICROFINANCE (PTY) LTD,EASY YUN CASH LOANS,2022/312960/07,083 447 8033,,1 - 17 Hoop Street Robertson 6705,Robertson,,
NCRCP16778,MADIBOGO OVERLAND (PTY) LTD,,2019/436965/07,078 888 8889,,"No. 10027 Madibogo, Morolong Section Delareyville Madibogo 2772",Madibogo,,
NCRCP1905,ORANGE CASH LOANS (PTY) LTD,,2005/025246/07,012 259 0075,086 695 1319,"Wellness World Corporate Park Office 3B, Block E Beethoven Street Hartbeespoort 0216",Hartbeespoort,,
NCRCP1982,XANADU PROPERTIES 117 CC,CASH - IN - A - FLASH,2003/038310/23,012 323 7018,086 692 2178,Ground Floor Arcade Opera Plaza Building Cnr Pretorius Street & Bank Lane Pretoria 0002,Pretoria,,
NCRCP2071,BOTSHABELO CASH LOANS CC,,2003/050033/23,078 406 7905,,10363 Matlotleng Section Saulspoort 0318,Saulspoort,,
NCRCP2122,RUFUS AFONSO FINANCIAL CONSULTANTS CC,R.A . FINANCIAL CONSULTANTS,2002/100568/23,014 555 6747,014 555 6747,110 First Floor Mogwase Shopping Complex Mogwase 0314,Mogwase,,
NCRCP2127,PIET CASH LOANS CC,,1999/067697/23,015 309 9708,,10a Vrede Street Volksrust 2470,Volksrust,,
NCRCP9754,QUICKOL PROJECTS (PTY) LTD,,2015/368294/07,015 293 2546,015 293 2546,06 Mara Street Ladanna Polokwane 0699,Polokwane,,
NCRCP11707,OLANREWAJU EMMANUEL OJO,OLAJOS SOLUTIONS,N/A,073 460 5412,,402 Meintjieskop 505 Edmund Street Arcadia Pretoria 0083,Pretoria,,
NCRCP11794,CHUKWUDERAEZE TRADING ENTERPRISE (PTY) LTD,,2016/325598/07,081 273 9952,086 055 1027,No 94 Indwe Lodge Realy and Spuy Sunnyside Pretoria 0132,Pretoria,,
NCRCP11885,SEWISE (PTY) LTD,,2018/504789/07,  ,,6519 Ext 5 Bela Bela 0480,Bela Bela,,
NCRCP11992,THUSO YA POTLAKO TRADING AND PROJECTS (PTY) LTD,,2016/095681/07,083 946 9466,,1297B Mositoane Section Lerome Saulspoort 0318,Saulspoort,,
NCRCP12222,PANGOLIN LOANS (PTY) LTD,,2018/524600/07,076 474 5681,,Stand No 777 Luphisi SIBUYILE 1216,SIBUYILE,,
NCRCP1251,FAST CASH MICRO FINANCE CC,,2003/046327/23,018 381 3520,018 381 3520,C/O Martin And Warren Str Mafikeng 2745,Mafikeng,,
NCRCP12877,MABYENI FINANCIAL SOLUTION (PTY) LTD,,2019/325636/07,060 635 1717,,Stand No 30 Mattiyani Village Saselamani 0928,Saselamani,,
NCRCP13206,WR CROCODILE (PTY) LTD,MAXIMUM CASH LOAN,2016/152581/07,079 471 1132,,No 8 Fontein Street Bothaville 9660,Bothaville,,
NCRCP1394,VELA CASH LOANS CC,VELA CASH LOANS,1998/026494/23,083 465 9824,047 531 4148,"Office 531, 5th Floor ECDC Building York Road MTHATHA 5099",MTHATHA,,
NCRCP14056,PIXIU ONLINE (PTY) LTD,,2020/503988/07,072 136 7627,,Shob B20-B Renbro Shopping Centre 30 Warmbaths Road HAMMANSKRAAL 0400,HAMMANSKRAAL,,
NCRCP4258,BURGERT WYNAND DU PLESSIS,Eagle Cash Loans,N/A,021 873 7757,,19 Bain Street Willington Paarl 7646,Paarl,,
NCRCP432,ALLIED MICRO FINANCE CC,ALLIED LOANS,2001/077978/23,011 453 8618,,Shop 6 49 van Riebeeck Avenue Edenvale 1609,Edenvale,,
NCRCP4388,EZ TRADE 490 CC,NCEDULUNTU CASH LOANS,2006/178780/23,082 569 4782,,10 Causeway Street PORT ALFRED 6170,PORT ALFRED,,
NCRCP466,S C L FINANCIAL SERVICES CC,"THUSONG CASH LOANS, SIMUNYE CASH LOANS,MASIZA FINANCE",2004/046575/23,016 933 2163,086 661 2163,Corso Building Eric Louw Street VANDERBIJLPARK 1900,VANDERBIJLPARK,,
NCRCP4693,AKUDLE KUTISHIYELE CASH LOANS CC,,2009/189025/23,013 235 2920,013 712 9389,1166 Msongwana Trust NELSPRUIT 1215,NELSPRUIT,,
NCRCP4781,VAIDRO 178 CC,VULEKA CASH LOANS DUNDEE,2009/193376/23,034 212 2020,034 212 2020,1 B The Mews Cnr Beaconfield & Gldstone Street Dundee 3000,Dundee,,
NCRCP4845,KING FINANCE TRUST,,IT 529/2002,041 360 1864,041 360 1864,1A Dan Street Central Uitenhage 6229,Uitenhage,,
NCRCP5002,KAREE CASH LOAN CC,,2009/168796/23,083 993 4962,,House 3003 Hostel Karee Mine MARIKANA 0284,MARIKANA,,
NCRCP5018,MURPHY AND SONS CASH LOANS CC,,2010/095288/23,041 481 4191,,44 Bardien Street Bloemendal Port Elizabeth 6059,Port Elizabeth,,
NCRCP5339,TAPEISI TRADING CC,Lee James Micro Lender,2010/165409/23,011 892 2676,011 892 4172,Stand No: 3449 Ivory Park 1689,Ivory Park,,
NCRCP2150,NGOZA FINANCIAL SERVICES CC,,2004/008192/23,033 345 7176,033 345 7056,175 Chapel Street Cnr Longmarket Pietermaritzburg 3200,Pietermaritzburg,,
NCRCP2374,HANDRI FINANCIAL SERVICES CC,BONUS CASH- STILLFONTEIN & BONUS CASH - KROONSTAD,2002/072274/23,018 484 1670,018 484 1670,Shop 6 A Civic Centre Stilfontein 2550,Stilfontein,,
NCRCP2833,SEASON'S STAR TRADING 333 CC,DE NOON'S CASH LOANS,2003/071897/23,018 473 0445,018 462 3790,47 Delvers Street Klerksdorp 2570,Klerksdorp,,
NCRCP2884,CREDIT CARE (PTY) LTD,"CREDIT CARE - MAIN BRANCH, FURNITURE STORE, KLERKSDORP, KANANA",2003/029850/07,018 473 1056,018 473 1056,74 Milton Avenue Orkney 2619,Orkney,,
NCRCP3228,SELF DISCOVERY CASH AND MARKETING CC,,2001/072189/23,015 962 5361,051 962 5361,NPDC Office 13 2nd Floor Block d Thohoyandou 0950,Thohoyandou,,
NCRCP3382,BESTVEST 180 CC,,2007/071277/23,042 243 0129,,4 Nojoli Street Somerset East 5850,Somerset East,,
NCRCP3666,POLE POSITION TRADING 205 CC,,2008/163528/23,011 692 2980,011 692 1176,1 Adria Mansiion Suikerbos Street Greenhills 7646,Greenhills,,
NCRCP381,MELMOTH MASIZA FINANCE CC,MELMOTH FINANCE,1997/049665/23,035 450 7025,086 698 3747,14 Reinhold Street Melmoth 3835,Melmoth,,
NCRCP388,MAYIBUYE CASH LOANS CC,,1999/023061/23,013 794 7950,013 794 7310,Stand 3234 A Sibuyile Kanyamazane 1214,Kanyamazane,,
NCRCP4168,PHASE 2 CDS INVESTMENTS CC,,2009/102170/23,011 794 3902,011 794 3728,"Unit 4, Bush Hill Office San Frederik Avenue Randpark Ridge 2156",Randpark Ridge,,
