NCR Registration No,Full Name,Trading Name,Legal Registration No,Phone,Fax,Physical Address,Town,Final Registration Date,Status
NCRCP10046,BLUE AGE INVESTMENTS (PTY) LTD,,2013/147962/07,012 346 1818,012 346 1551,"Waterkloof Office Park, Block C 469 Julius Jeppe Street Waterkloof 0145",Waterkloof,,
NCRCP1005,M AND B FINANCE CC,,2007/119280/23,014 596 7389,014 596 5232,112 President Mbeki Drive Rustenburg 0300,Rustenburg,,
NCRCP10059,PDBOOST (PTY) LTD,,2017/278238/07,082 974 9209,,48 Woodpecker Street Wierda Glen Estate Wierda Park Centurion 0157,Centurion,,
NCRCP1006,W.E. CASH LOANS CC,,2000/053143/23,049 892 3867,049 892 3867,22 Napier Street Graaff-Reinet 6280,Graaff-Reinet,,
NCRCP10085,CCANDERSONSTREET (PTY) LTD,CASH CONVERTERS ANDERSON STREET,2017/291087/07,087 820 4080,011 805 2170,Cnr Anderson Street and Kruis Street Marshalltown Johannesburg 2001,Johannesburg,,
NCRCP10095,LA-DEE-DA CASH LOAN (PTY) LTD,,2012/107874/07,084 415 0130,,9 Myrtle Crescent Aloevale Queenstown 5320,Queenstown,,
NCRCP748,A N DUVENAGE FINANCE CC,PARK FINANCE,2005/170573/23,016 371 1534,016 371 1336,52 Union Street Deneysville Vereeniging 1932,Vereeniging,,
NCRCP7489,TRANSACTION CAPITAL BUSINESS SOLUTIONS (PTY) LTD,TRANSACTION CAPITAL BUSINESS SOLUTIONS,1968/002188/07,021 401 4508,,26th Floor Metlife Centre 7 Walter Sisulu Avenue Cape Town 8001,Cape Town,,
NCRCP750,SHELFVOS ONE CC,LJ'S MICRO FINANCE,2006/039283/23,057 733 2558,057 733 2557,Rietgat Farm Theunissen 9410,Theunissen,,
NCRCP7504,INSECT SCIENCE (PTY) LTD,,2000/022528/07,015 307 1391,015 307 6555,No: 9 Industrial Street New Industrial Area Tzaneen 0850,Tzaneen,,
NCRCP7512,CASHIES TEN (PTY) LTD,CASH CONVERTERS KEY WEST,2014/190541/07,087 820 4080,011 805 2170,Shop No 2 Key West Shopping Centre Cnr Paardekraal & Viljoen Str KRUGERSDORP 1739,KRUGERSDORP,,
NCRCP752,INDLULAMITHI FINANCIAL SERVICES CC,LOANMAN RICHMOND,2000/012215/23,033 345 0867,033 345 0867,"Shop 2, Richmond Shoppping Centre 5 Chilley Street, Cnr Nelson Street Richmond 3780",Richmond,,
NCRCP7539,MONEY-BIN TRADING (PTY) LTD,,2014/118648/07,076 812 0973,,07 Reier Street Pacaltsdorp George 6530,George,,
NCRCP754,TAMA SUPPLIES CC,"TAMA CASH LOANS, SURE MONEY",1996/059081/23,013 656 1042,013 656 1042,NBS Building Botha Street Witbank 1035,Witbank,,
NCRCP7542,CARGILL RSA (PTY) LTD,,1998/020303/07,011 745 9600,086 528 2600,Cargill Building Cedar View Office Park Cnr 6th and Runnymead Road Chartwell Johannesburg 2191,Johannesburg,,
NCRCP7559,LEANNE SCHLEMMER,,N/A,043 726 6421,086 585 3214,17 a Surrey Road Vincent East London 5247,East London,,
NCRCP5814,MELUSI HORIZONS TRADING CC,,2007/186962/23,033 342 2942,,23 Pineview Close Signall Hill Pietermaritzburg 3201,Pietermaritzburg,,
NCRCP5816,MEJAELE INVESTMENTS (PTY) LTD,POINT FINANCE,2011/110518/07,014 592 0668,014 592 0668,50 Steen Street RUSTENBURG 0299,RUSTENBURG,,
NCRCP5818,BAASPERD FINANSIELE ONDERNEMINGS (PTY) LTD,,2009/018912/07,012 470 3602,086 239 6545,12 Olympus Heights Achullus Street ZWAVELPOORT 0036,ZWAVELPOORT,,
NCRCP5820,JOHANNES LODEWICUS PRINSLOO,,N/A,051 853 2910,051 583 2910,75 Davin Street Bultfontein 9670,Bultfontein,,
NCRCP5821,LAS MANOS INVESTMENTS 174 (PTY) LTD,,2011/000090/07,012 470 3602,086 239 6545,39 Reitz Street Potchefstroom 2520,Potchefstroom,,
NCRCP583,M L INTERNATIONAL TRADING 77 CC,,2005/042707/23,011 825 4134,086 697 0525,16 A Station Bazaar 43 Railway Street Germiston 1401,Germiston,,
NCRCP5833,OAKLEAF INVESTMENTS HOLDINGS 33 ( PTY ) LTD,,2009/020053/07,012 470 3602,086 239 6545,3 Falkson Oval Boardwalk Meander Olympus Pretoria 0018,Pretoria,,
NCRCP5838,PRO FINANCIAL SERVICES (PTY) LTD,,2012/079270/07,011 864 8808,086 615 6200,Shop 11 Jacqueline Shopping Centre Cnr Venter & Swartkoppies Street Randhart Alberton 1457,Alberton,,
NCRCP5842,NIREN SINGH AND ASSOCIATES CC,,1989/034433/23,082 412 7121,086 615 5361,"Shingara Sands, Unit 122 Petroy Drive Magaliesburg Fourways 2021",Fourways,,
NCRCP585,NATANEAL (PTY) LTD,TOP CAR,1999/23282/07,056 212 1320,056 212 1320,Reitz Street Kroonstad 9499,Kroonstad,,
NCRCP3300,MONTREAU 2 (PTY) LTD,,2006/018478/07,086 010 3181,086 501 7825,1 Impala ave Helderkruin 1733,Helderkruin,,
NCRCP3306,LEWFIN CC,LIGHTHOUSE FINANCIAL SERVICES,2007/109934/23,012 809 0174,086 563 9847,"Rentmeesterpark, 3rd Floor 74 Watermeyer Street Val de Grace Pretoria 0001",Pretoria,,
NCRCP3309,MACHAUS BUILDING SUPPLIES (PTY) LTD,,2006/007541/07,012 682 9500,086 532 0462,"Corporate Place, Jigsan Park 7 Einstein Street Highveld Techno Park HIGHVELD 0169",HIGHVELD,,
NCRCP331,JACKPOT FINANCE CC,,1998/030586/23,011 975 9846,011 970 4074,17 Newton Street Spartan Kempton Park 1619,Kempton Park,,
NCRCP3311,JACOBUS JOHANNES FOURIE,,N/A,  ,,Die Plaas Valsdam STRYDENBURG 8765,STRYDENBURG,,
NCRCP3313,L & L FINANCING ENTERPRISES CC,,1996/006113/23,015 295 6841,015 297 0263,Schoemanstraat 59 Winkel 6 Kirkade Polokwane (Pietersburg) 0700,Polokwane (Pietersburg),,
NCRCP3314,SG PHEZULU GENERAL SUPPLIES CC,,2006/218156/23,031 502 1999,031 502 1999,"Fenton House, 7th Floor, Office 701 Fenton Road Durban 4001",Durban,,
NCRCP3316,PELICAN TRANSACTIONS CC,CASHWISE - RANDFONTEIN,2004/061952/23,011 693 0095,011 693 0095,49D Village Street Randfontein 1760,Randfontein,,
NCRCP3317,JOUBERT MYBURGH FINANSIELE DIENSTE BK,,2000/013120/23,018 381 0818,018 381 0818,35 James Watt Crescent Industrial Site Mafikeng 2745,Mafikeng,,
NCRCP3320,VICTOR JOHN ALLEN & MARC PAUL ALLEN,CAROUSEL CARS,N/A,021 713 0444,021 713 0446,199 Main Road Diep River 7800,Diep River,,
NCRCP10104,TYCOON FINANCIAL SERVICES (PTY) LTD,,2017/401289/07,082 570 5646,,8 Module Grove Moorton Chatsworth 4092,Chatsworth,,
NCRCP10105,M AND S FINANCIAL SERVICES (PTY) LTD,Harvest Cash Loan,2017/097811/07,  ,,"Shop 12, Pioneer Building 51 Schoeman Street PIETERSBURG 0699",PIETERSBURG,,
NCRCP1011,GREAT FORCE INVESTMENTS 104 (PTY) LTD,,2007/009981/07,021 914 9020,021 914 9025,"3rd Floor, The Gihon Cnr Spartica & Bill Bezuidenhout Streets Tygervalley 7530",Tygervalley,,
NCRCP10121,BRIDGE FLOW (PTY) LTD,,2015/289057/07,083 527 3606,,3 Vineyard Avenue Hout Bay 7872,Hout Bay,,
NCRCP10122,INGQAKA YOLUNTU (PTY) LTD,INGQAKA YOLUNTU ASSERT PAWN,2016/330149/07,082 461 1414,,43 Bonza Bay Road Beacon Bay EAST LONDON 5201,EAST LONDON,,
NCRCP10144,KRUGER AND SONS (PTY) LTD,K. FINANCE,2016/502987/07,044 382 3983,086 616 7434,"Unit 2, Unity Street Centreville Knysna 6570",Knysna,,
NCRCP10157,CASH CRUSADERS KOLONADE (PTY) LTD,,2016/165408/07,082 908 7133,,"Shop 15, Kolonnade Retail Park Cnr Enkeldoorn and Sefako Makgato Drive Montana Park Pretoria 0082",Pretoria,,
NCRCP10176,SHOW HOUSE FURNITURE (PTY) LTD,,2017/308912/07,012 761 7850,,260 Jack Hindon Street Pretoria North 0116,Pretoria North,,
NCRCP10189,GASTAO'S QUALITY FOODS (PTY) LTD,,2003/014601/07,044 695 0176,044 695 0173,Gericke Street Voorbaai MOSSELBAAI 6506,MOSSELBAAI,,
NCRCP10191,A A U CASH LOANS (PTY) LTD,,2017/326893/07,015 781 2312,,19 Harris Street Phalaborwa 1389,Phalaborwa,,
NCRCP5852,K2011119839 (PTY) LTD,,2011/119839/07,012 470 3602,,14 MooiPlaas Boardwalk Meander 1 Valley Close 0167,Valley Close,,
NCRCP5854,DARTINGO TRADING 231 (PTY) LTD,,2010/007835/07,086 111 2754,086 583 6041,66 Kretchzmar Avenue BELABELA 0481,BELABELA,,
NCRCP5857,THE THEKWINI FUND 10 (RF) LIMITED,,2012/030394/06,031 576 5687,086 500 1534,"2 Milkwood Crescent Milkwood Park, Off Douglas Saunders Drive La Lucia Ridge 4051",La Lucia Ridge,,
NCRCP5861,LOANCOR (PTY) LTD,,2012/042264/07,  ,086 518 5988,11 Englewold Drive Saxonwold JOHANNESBURG 2196,JOHANNESBURG,,
NCRCP5865,THOMASCLAIRE TRADING CC,,2011/029096/23,011 463 2517,086 583 6041,15A Fitzwilliam Avenue Braynston SANDTON CITY 2196,SANDTON CITY,,
NCRCP5867,MONEY BOX INVESTMENTS 256 (PTY) LTD,,2011/005724/07,083 262 6474,086 239 6545,43 Emerald Park 226 Glover Street Centurion 0157,Centurion,,
NCRCP5872,WAYNE BERNARD ALBRECHT,,N/A,031 468 5895,,8 Tudor Road Gillitts 3610,Gillitts,,
NCRCP588,LOAN SERVE CC,TIP TOP FINANCE,2004/063566/23,012 252 0436,086 689 0171,"Room 7, Edelweiss Building 16 Kerk Street Brits 0250",Brits,,
NCRCP5883,ANDULUCIA TRADING 210 (PTY) LTD,,2009/013877/07,012 470 3602,,148 Rose Acres 781 Enkeldoorn Sreet Sinoville Pretoria 0129,Pretoria,,
NCRCP5886,TRIPLE ADVANCED INVESTMENTS 45 (PTY) LTD,,2010/015503/07,012 470 3602,086 239 6545,4 Chimboraa Pretoria Mooikloof 0059,Mooikloof,,
NCRCP756,PRINSLOO ONTWIKKELINGS TRUST,INJABULO CASH LOANS,IT 8955/03,011 753 3640,011 753 3640,81 Edwards Avenue Westonaria 1779,Westonaria,,
NCRCP7573,HENDRIK ALBERTUS KEARNEY,,N/A,027 662 1300,086 611 5184,Kaalspruit LOERIESFONTEIN 8185,LOERIESFONTEIN,,
NCRCP758,SOUTHERN ALLIANCE (PTY) LTD,,1994/000592/07,018 581 1020,018 581 1547,"Ground Floor, Greystone Building Fourways Golf Park Roos Street Fourways 2055",Fourways,,
NCRCP7584,THE FUND HOUSE (PTY) LTD,,2015/221804/07,071 385 9360,,341 Ratshwene Setion Luka Sun City 0316,Sun City,,
NCRCP7588,MARIUS DANIEL KALIS,KALIS PAYDAY LOANS,N/A,021 949 8510,086 724 6613,7 Turner Street De La Haye BELLVILLE 7530,BELLVILLE,,
NCRCP759,ENTREPRENEUR GROWTH FUND (PTY) LTD,,2004/026122/07,043 700 0000,043 700 0100,Berea Terrace Office Park 3 Berea Terrace Berea East London 5201,East London,,
NCRCP7595,ILAWU BUSINESS SOLUTIONS (PTY) LTD,CASH CRUSADERS ARCADIA,2013/183415/07,083 321 0640,086 577 1066,505 Madiba Street Arcadia Pretoria Tshwane 0001,Tshwane,,
NCRCP760,BLUE DOT FINANCE SEVEN (PTY) LTD,BLUE DOT FINANCE,2002/024045/07,043 702 4600,043 742 6327,Real People Views 12 Esplanade Road Quigney East London 5201,East London,,
NCRCP7603,MATHEW BUTI DLAMINI,MATTHEW BUTI DLAMINI ATTORNEYS,N/A,017 712 3342,017 712 1525,Shop No-01 Old Mutual Building 19C Kerk Street Standerton 2430,Standerton,,
NCRCP7609,BRIDNIC (PTY) LTD,CASH CONVERTORS GIFT ACRES,2014/240822/07,087 820 4080,011 805 4080,Gift Acres Shopping Center Lynnwood Road Lynnwood Ridge Pretoria 0081,Pretoria,,
NCRCP3321,INNOVATIVE CREDIT CC,INNOVATIVE CREDIT,2005/005292/23,011 329 8583,011 759 7123,1st Floor 355 355 Kent Avenue Randburg 2125,Randburg,,
NCRCP3323,SUMMERSTRAND FINANCE CC,,2005/142666/23,041 583 6754,041 583 6754,79 Graaf Reinet Street Riebeeckhoogte 6231,Riebeeckhoogte,,
NCRCP3326,HENDRI VILJOEN SAKE TRUST,,N/A,051 409 1700,086 660 0291,43 George Lubbe Street Hamilton BLOEMFONTEIN 9301,BLOEMFONTEIN,,
NCRCP333,TWALA GLOBAL CARGO (PTY) LTD,,1999/027747/07,011 974 1976,086 636 0697,Aeroport Industrial Estate 15 Belgrade Avenue Spartan Kempton Park 1620,Kempton Park,,
NCRCP3330,INDVAAL CASH LOANS (PTY) LTD,,1996/070044/07,016 932 9000,086 625 4102,"Cnr Frikkie Meyer Blvd & Chopin Street 1st Floor, Junxion Building SW5 Vanderbijlpark 1911",Vanderbijlpark,,
NCRCP3332,NITRO SECURITISATION 2 (PTY) LTD,,2006/008355/07,011 282 1458,011 384 3394,4 Merchant Place Cnr Fredman Drive & Rivonia Road Sandton 2196,Sandton,,
NCRCP3339,NITRO SECURITISATION 1 (PTY) LTD,,2005/036274/07,011 282 -1458,011 384-3394,4 Merchant Place Cnr Fredman Drive and Rivonia Road Sandton 2196,Sandton,,
NCRCP334,CREDO TRUST,CREDO FINANCE,IT 4263/01,015 297 3391,015 297 3391,80 Schoeman Street Polokwane (Pietersburg) 0699,Polokwane (Pietersburg),,
NCRCP3340,NITRO SECURITISATION 3 (PTY) LTD,,2007/003355/07,011 282 1364,011 282 1616,4 Merchant Place Cnr Fredman Drive & Rivonia Road Sandton 2196,Sandton,,
NCRCP3346,GOLDEN OAK CORPORATE ADVISORS (PTY) LTD,,1998/010401/07,012 809 3410,086 625 0565,"Suite1, Ground Floor, Building 9 74 Pony St, Tijger Vallei Office Park Tigervallei X7 Pretoria 0054",Pretoria,,
NCRCP10195,ZABCOR (PTY) LTD,,2016/400470/07,012 399 9202,,217 Moonflower Crescent Thatchfield Crescent Centurion 0157,Centurion,,
NCRCP102,CREDIT U FINANCIAL SERVICES (PTY) LTD,,2002/006362/07,012 676 7403,012 661 5867,"Eco Fusion 4, Block B Witch Hazel Avenue Centurion 0157",Centurion,,
NCRCP10211,THE NOMHLE TRUST,,TT937/1995,071 689 4721,,4 Dove Drive New Bolton Umtentweni 4235,Umtentweni,,
NCRCP10217,SYFERKRAAL BOERDERY CC,,2005/087946/23,018 571 0085,,Farm Kareekuil OTTOSDAL 2610,OTTOSDAL,,
NCRCP10218,HS MICROLOANS (PTY) LTD,,2017/080622/07,012 548 1102,086 441 8709,745 Besembiesie Road Montana Park PRETORIA NORTH 0182,PRETORIA NORTH,,
NCRCP10219,CASH CRUSADERS RICHARDS BAY (PTY) LTD,,2016/041019/07,035 789 4199,,"Shop 12, Checkers Centre Bullion Bullavard RICHARDS BAY 3900",RICHARDS BAY,,
NCRCP10220,CASH CRUSADERS RASLOUW (PTY) LTD,,2016/165192/07,012 656 3030,,Corner Rooihuiskraal and Hendrik Verwoerd Street Raslouw Centurion 0046,Centurion,,
NCRCP10223,SEBOM TRADING ENTERPRISE (PTY) LTD,,2017/468540/07,072 150 6333,,5 Lehman Street Morewag Kroonstad 9500,Kroonstad,,
NCRCP10231,PEROLLA FINANCE (PTY) LTD,,2017/293636/07,079 690 4622,,Unit 3 Ninth on Lever Erands Gardens HALFWAY HOUSE 1685,HALFWAY HOUSE,,
NCRCP10236,DIRECT CREDIT FINANCIAL SERVICES (PTY) LTD,DIRECT CREDIT,2017/495844/07,021 903 0551,086 572 5178,17 Rooibok Street KUILSRIVER 7580,KUILSRIVER,,
NCRCP7626,TSHEMONG FINANCE HOUSE (PTY) LTD,,2015/160599/07,081 531 1214,,No 2 Garden Estate 27A Hoog Street Polokwane 0699,Polokwane,,
NCRCP7633,KHWEZA TRADING (PTY) LTD,,2012/099950/07,031 201 2045,031 201 1978,267 Bulwer Road Glenwood Durban 4001,Durban,,
NCRCP7639,HLUNGWANI FINANCIAL SERVICES TRADING ENTERPRISE (PTY) LTD,,2015/105435/07,083 739 0157,,Stand No: 398 Hlungwani Village Saselamani 0928,Saselamani,,
NCRCP7651,NEW SEASON FINANCE (PTY) LTD,BIZBOX,2015/218785/07,083 271 1661,,21 Chiselhurst Road WESTVILLE 3629,WESTVILLE,,
NCRCP7676,SUPER DRAGON TRADING (PTY) LTD,SUPER DRAGON FINANCE,2012/150621/07,083 300 5488,,Shop No A-1 Boxer Shopping Centre COFIMVABA 5380,COFIMVABA,,
NCRCP768,OBADYAHU TRADING AND FINANCE CC,,2007/007031/23,022 713 5912,022 713 1069,Ou Mediese Sentrum 7 Bree Street Vredenburg 7380,Vredenburg,,
NCRCP770,BONGI'S FINANCE CC,,1999/012891/23,012 348 0334,012 348 0339,223 Gobie Street Newlands Tshwane 0001,Tshwane,,
NCRCP7706,TZANEEN SALVAGE STORE CC,,2011/098305/23,015 307 6202,086 670 5021,Farm Pusela 555 Tzaneen 0850,Tzaneen,,
NCRCP7709,VANCI CASH LOANS (PTY) LTD,VANCI CASH LOANS,2015/348265/07,010 601 1600,,Alberton Boulverd & Hotel Shopping Centre Voortrkker Road Alberton CBD ALBERTON 1449,ALBERTON,,
NCRCP771,SIZOLWETHU FINANCE CC,,2005/007428/23,011 782 7784,011 782 7781,"59, 4th Avenue Linden Place Linden 2195",Linden,,
NCRCP5892,SEA SHADOW TRADE AND INVEST 170 (PTY) LTD,,2010/017243/07,012 470 3602,086 239 6545,11 Louw Avenue KRUGERSDORP 1739,KRUGERSDORP,,
NCRCP5900,RHODE DU PLESSIS CC,,2007/059520/23,014 533 2547,086 622 8202,12 Silverleaf Avenue Protea Park RUSTENBURG 0299,RUSTENBURG,,
NCRCP5901,TRIPLE ADVANCED INVESTMENTS 57 (PTY) LTD,,2010/018451/07,012 470 3602,086 239 6545,12 Tambotie Crescent Plattekloof Cape Town 8001,Cape Town,,
NCRCP5902,MONEY BOX INVESTMENTS 259 (PTY) LTD,,2011/005644/07,012 470 3602,086 239 6545,156 Wilde Amandel Road Wilropark Ext 5 ROODEPOORT 1774,ROODEPOORT,,
NCRCP5906,SEA SHADOW TRADE AND INVEST 172 (PTY) LTD,,2010/017425/07,012 470 3602,086 239 6545,Middelkop Plaas Settlers 0430,Settlers,,
NCRCP5912,ANNA-MARIÉ BOSHOFF,,N/A,053 444 1926,053 444 1217,32 Van Zyl Street Hoopstad 9479,Hoopstad,,
NCRCP5921,AETERNO INVESTMENTS 270 (PTY) LTD,,2011/000093/07,012 470 3602,086 239 6545,3 Old Fort Road Pretoria Lynnwood 0081,Lynnwood,,
NCRCP5922,AETERNO INVESTMENTS 271 (PTY) LTD,,2011/000074/07,012 470 3602,086 239 6545,13 Libra Signal Hill NEWCASTLE 2940,NEWCASTLE,,
NCRCP5926,K2011119893 (PTY) LTD,,2011/119893/07,012 470 3602,086 239 6545,51 Mooiplaas Boardwalk Meander B Olympus Pretoria 0043,Pretoria,,
NCRCP5927,TRIPLE ADVANCED INVESTMENTS 47 (PTY) LTD,,2010/015658/07,012 470 3602,086 239 6545,33 Kloof Avenue Huttenhoogte NEWCASTLE 2940,NEWCASTLE,,
NCRCP335,KANIVEST 3205 CC,KOPANO KWIK CASH,2001/059339/23,018 642 1659,018 642 1495,10 Voortrekker Street Zeerust 2865,Zeerust,,
NCRCP3350,IKHAYA RMBS 2 LIMITED,,2006/035275/06,011 282 1364,011 282 1616,2nd Floor 4 Merchant Place Cnr Fredman & Rivonia Drive Sandton 2146,Sandton,,
NCRCP3359,LUX APPLIANCES SOUTH AFRICA (PTY) LTD,,2006/010314/07,021 531 0933,021 531 0944,"Unit A10 - A12, Pinelands Business Park New Mill Road Ndabeni 7405",Ndabeni,,
NCRCP3362,BLADE FINANCIAL SERVICES BOKSBURG CC,,2008/136267/23,074 179 4791,,47 Struben Street BENONI 1501,BENONI,,
NCRCP3364,NEW AFRICAN FINANCIAL SOLUTIONS (PTY) LTD,,2007/025931/07,041 506 5971,086 674 0740,74 Pearson Street Centrahil 6006,Centrahil,,
NCRCP3367,HENDRIK CHRISTOFFEL DE WET VAN SCHALKWYK,,N/A,015 491 4086,015 491 4088,64 Ruiter Road Mokopane 0600,Mokopane,,
NCRCP3371,IMMACULATE EDUCATIONAL FINANCIAL SOLUTIONS (PTY) LTD,,2007/019137/07,011 475 3219,011 252 6479,"Suite 3, Block 2 Ruimsig Office Park Roodepoort 1732",Roodepoort,,
NCRCP3372,SYNTHETIC POWER WAVE (PTY) LTD,,2008/012645/07,011 475 3219,011 252 6479,"Suite 3, Block 2 Ruimsig Office Park Roodepoort 1732",Roodepoort,,
NCRCP3376,EVOLUTION CREDIT MANAGEMENT (PTY) LTD,,2007/031715/07,043 702 4612,043 742 6327,Real People Views 12 Esplanade Road Quigney EAST LONDON 5201,EAST LONDON,,
NCRCP3388,ROUTE QUEST (PTY) LTD,BLOEMFONTEIN/BELLVILE/WADEVILLE,1966/007740/07,051 409 1700,,43 George Lubbe Street Hamilton Bloemfontein 9300,Bloemfontein,,
NCRCP1027,OOST BOERDERY CC,THABO FINANCIAL SERVICES,1995/15251/23,058 813 3110,058 813 3110,Rouxlaan 15 Frankfort 9830,Frankfort,,
NCRCP10277,ANNAMARIE ESTERHUIZEN,A2Z DEALERS,N/A,039 682 0301,086 614 0596,25 Birchington Road Margate 4265,Margate,,
NCRCP10281,RUMBLE CASH LOAN (PTY) LTD,,2014/267513/07,043 642 6357,,147 Cathcart Street King William's Town 5620,King William's Town,,
NCRCP10289,CASH CRUSADERS THE BRIDGE (PTY) LTD,,2016/402989/07,041 360 2845,,"Shop C39A, The Bridge Shopping Centre Corner Cape Road and Langehoven Drive Newton Park 6045",Newton Park,,
NCRCP10293,NBARGAIN CC,,1994/030401/23,015 491 5209,015 4915209,60 Ruiter Street Mokopane (Potgietersrus) 0600,Mokopane (Potgietersrus),,
NCRCP10294,CASH CRUSADERS NORTHMEAD (PTY) LTD,,2016/402976/07,078 158 0102,,Shop G26 Northmead Square Benoni 1500,Benoni,,
NCRCP1030,SILVER SOLUTIONS 1057 CC,EZEE CASH,2005/021001/23,043 722 1099,,2 Argyle House Argyle Street Central East London 5201,East London,,
NCRCP10302,KGABO NAMELA INVESTMENT HOLDINGS (PTY) LTD,,2017/418043/07,082 716 8306,,Redhouse 25 Alsation Road Glen Austin 1685,Glen Austin,,
NCRCP10313,NDUMISO AND PHIWOKUHLES TRADING AND INVESTMENTS (PTY) LTD,,2017/652925/07,083 549 2945,,2121 Bethani Area BERGVILLE 3350,BERGVILLE,,
NCRCP1032,GOOSEN FINANCIAL SERVICES CC,MONEY FOR AFRICA,1999/018364/23,012 346 3654,012 346 5568,"541 Fehrsen Street, Shop 1B Nieu Muckleneuk Waterkloof 0181",Waterkloof,,
NCRCP7717,JOHAN CHRISTIAAN COETZEE,JC FINANCES,N/A,045 932 1113,045 932 1113,5 Izak Kruger Drive UGIE 5470,UGIE,,
NCRCP7720,IZIMAYINI CC,,2010/126261/23,031 764 1269,086 546 4152,"Unit 3, Abelia Park 87 Abelia Road Kloof 3610",Kloof,,
NCRCP7728,JAN CHRISTOFFEL GOODCHILD,I-MALI FINANCE,N/A,083 459 1471,,Rau Street 33 REDDERSBURG 9904,REDDERSBURG,,
NCRCP7729,PHILLIPUS JACOBUS EARLE AND JOHANNES HENDRIK BARNARD TRADING IN PARTNERSHIP,BOU AGRI,N/A,051 853 1161/2,086 531 1726,President Swart Street 42A Bultfontein 9670,Bultfontein,,
NCRCP7736,MIDWICKET TRADING 584 CC,DIE BLOUHOND FINANSIELE DIENSTE,2011/051449/23,051 436 8914,086 508 1981,49 Disa Straat Vanderkloof 8771,Vanderkloof,,
NCRCP7762,IAN GERARD CASTELING,IG CASH LOANS,N/A,083 287 1360,086 076 6639,Main Street TABANKULU 5130,TABANKULU,,
NCRCP777,ALEXANDER FORBES HOMEPLAN JOINT VENTURE,,N/A,011 269 1548/0000,011 263 2583,Alexander Forbes Place 61 Katherine Street Sandown 2031,Sandown,,
NCRCP7776,C EN M MIKRO LENINGS (PTY)LTD,,2015/239613/07,028 425 2771,,Rivier Straat 18 BREDASDORP 7280,BREDASDORP,,
NCRCP779,SAGEWISE 98 (PTY) LTD,"BORDER FINANCE 1, BORDER FINANCE 2",2003/027919/07,043 726 1010,043 726 1010,"Shop 2, Ludidi Building Madeira Street Umtata 5100",Umtata,,
NCRCP7790,HAYDN JOHN HAMMOND,HILLINGDALE,N/A,021 423 4943,,5 Palmboom Mews Palmboom Road Newlands. 7700,Newlands.,,
NCRCP10329,EUGENE PIERRE HOLM,,N/A,041 368 9257,,"17 St Augustine Alan Drive, Walmer Downs PORT ELIZABETH 6070",PORT ELIZABETH,,
NCRCP10344,REFELOE GENERAL TRADING (PTY) LTD,,2015/323826/07,072 018 5478,086 609 2319,Stand No 652 Zone E Phalaborwa Namakgale 1391,Namakgale,,
